id,subject,topic_candidates,pdf,page_start,page_end,status
111-1-11-01,基礎醫學（包括解剖學、生理學與病理學）,骨骼肌肉解剖與病理,sources/111_1/11_Q.pdf,1,1,keyword_candidates_require_tutor_review
111-1-11-02,基礎醫學（包括解剖學、生理學與病理學）,,sources/111_1/11_Q.pdf,1,1,keyword_candidates_require_tutor_review
111-1-11-03,基礎醫學（包括解剖學、生理學與病理學）,MRI原理與技術;骨骼肌肉解剖與病理,sources/111_1/11_Q.pdf,1,1,keyword_candidates_require_tutor_review
111-1-11-04,基礎醫學（包括解剖學、生理學與病理學）,放射藥物與核種製備;骨骼肌肉解剖與病理,sources/111_1/11_Q.pdf,1,1,keyword_candidates_require_tutor_review
111-1-11-05,基礎醫學（包括解剖學、生理學與病理學）,骨骼肌肉解剖與病理,sources/111_1/11_Q.pdf,1,1,keyword_candidates_require_tutor_review
111-1-11-06,基礎醫學（包括解剖學、生理學與病理學）,骨骼肌肉解剖與病理,sources/111_1/11_Q.pdf,1,1,keyword_candidates_require_tutor_review
111-1-11-07,基礎醫學（包括解剖學、生理學與病理學）,放射藥物與核種製備;骨骼肌肉解剖與病理,sources/111_1/11_Q.pdf,2,2,keyword_candidates_require_tutor_review
111-1-11-08,基礎醫學（包括解剖學、生理學與病理學）,骨骼肌肉解剖與病理,sources/111_1/11_Q.pdf,2,2,keyword_candidates_require_tutor_review
111-1-11-09,基礎醫學（包括解剖學、生理學與病理學）,骨骼肌肉解剖與病理,sources/111_1/11_Q.pdf,2,2,keyword_candidates_require_tutor_review
111-1-11-10,基礎醫學（包括解剖學、生理學與病理學）,,sources/111_1/11_Q.pdf,2,2,keyword_candidates_require_tutor_review
111-1-11-11,基礎醫學（包括解剖學、生理學與病理學）,骨骼肌肉解剖與病理;神經系統,sources/111_1/11_Q.pdf,2,2,keyword_candidates_require_tutor_review
111-1-11-12,基礎醫學（包括解剖學、生理學與病理學）,骨骼肌肉解剖與病理,sources/111_1/11_Q.pdf,2,2,keyword_candidates_require_tutor_review
111-1-11-13,基礎醫學（包括解剖學、生理學與病理學）,神經系統,sources/111_1/11_Q.pdf,2,2,keyword_candidates_require_tutor_review
111-1-11-14,基礎醫學（包括解剖學、生理學與病理學）,神經系統,sources/111_1/11_Q.pdf,2,3,keyword_candidates_require_tutor_review
111-1-11-15,基礎醫學（包括解剖學、生理學與病理學）,神經系統,sources/111_1/11_Q.pdf,3,3,keyword_candidates_require_tutor_review
111-1-11-16,基礎醫學（包括解剖學、生理學與病理學）,MRI原理與技術;神經系統,sources/111_1/11_Q.pdf,3,3,keyword_candidates_require_tutor_review
111-1-11-17,基礎醫學（包括解剖學、生理學與病理學）,神經系統,sources/111_1/11_Q.pdf,3,3,keyword_candidates_require_tutor_review
111-1-11-18,基礎醫學（包括解剖學、生理學與病理學）,骨骼肌肉解剖與病理;神經系統,sources/111_1/11_Q.pdf,3,3,keyword_candidates_require_tutor_review
111-1-11-19,基礎醫學（包括解剖學、生理學與病理學）,MRI原理與技術;神經系統,sources/111_1/11_Q.pdf,3,3,keyword_candidates_require_tutor_review
